open,high,low,close,volume,spread,real_volume
6877.528,6904.396,6875.513,6888.947,83803,1,303573
6888.947,6890.29,6873.498,6878.199,38767,1,137682
6877.528,6880.886,6870.139,6878.199,8721,1,32704
6852.003,6899.694,6833.867,6882.23,235571,1,668959
6882.23,6895.664,6848.645,6848.645,149193,1,440648
6848.645,6872.826,6843.271,6843.271,127776,1,411121
6843.271,6894.32,6840.584,6882.901,116581,1,418138
6883.573,6937.309,6878.199,6921.188,110499,1,412647
6921.86,6946.041,6917.83,6932.607,89871,1,333187
6933.279,6974.252,6924.547,6972.909,100235,1,354947
6973.581,6982.985,6945.369,6948.056,88075,1,331514
6948.056,6963.505,6938.652,6944.698,51318,1,177715
6944.698,6949.4,6933.279,6948.728,10227,1,40672
6867.452,6895.664,6847.973,6855.362,224113,1,644604
6854.69,6870.811,6825.135,6864.765,185139,1,609734
6864.765,6895.664,6820.433,6829.165,178072,1,624932
6829.837,6831.181,6792.894,6794.909,113436,1,452146
6794.237,6814.388,6778.116,6811.701,106743,1,438751
6812.373,6813.045,6780.803,6800.282,84395,1,311346
6800.282,6804.984,6774.086,6774.758,68125,1,265562
6774.758,6778.116,6759.98,6773.414,67504,1,244525
6772.743,6773.414,6738.486,6743.86,67933,1,264220
6743.86,6769.384,6741.173,6753.935,20039,1,82485
6790.879,6810.358,6770.056,6794.909,194755,1,573033
6794.237,6833.867,6794.237,6833.196,156156,1,456658
6833.196,6836.554,6811.701,6822.448,124950,1,406445
6822.448,6829.165,6772.071,6801.626,121598,1,409701
6801.626,6805.656,6756.622,6792.222,104365,1,343832
6792.222,6802.969,6775.429,6800.282,64295,1,225677
6799.611,6820.433,6784.162,6795.58,77874,1,286007
6795.58,6811.701,6776.101,6781.475,57605,1,184714
6780.803,6806.999,6776.101,6797.596,41576,1,140715
6797.596,6819.762,6792.222,6811.701,14343,1,53335
6769.384,6778.788,6731.097,6735.128,197576,1,568080
6735.128,6773.414,6732.441,6747.89,162867,1,508105
6747.218,6827.822,6738.486,6821.777,168289,1,559408
6821.777,6876.856,6819.762,6872.826,168626,1,615610
6872.826,6892.977,6846.63,6866.781,107076,1,396882
6867.452,6880.886,6849.988,6876.184,78704,1,262127
6875.513,6879.543,6858.048,6875.513,58517,1,195074
6875.513,6890.29,6861.407,6888.275,67133,1,238019
6888.275,6888.275,6866.109,6874.169,44473,1,157462
6874.169,6879.543,6870.811,6874.841,8855,1,35579
6843.271,6872.826,6828.494,6858.72,183453,1,521521
6858.72,6866.109,6825.135,6831.181,177417,1,545532
6831.181,6882.23,6821.777,6876.856,153919,1,483147
6876.856,6884.916,6850.66,6855.362,101847,1,340584
6854.69,6871.482,6840.584,6866.781,87627,1,290946
6866.109,6866.781,6833.867,6841.928,77651,1,262508
6841.928,6851.331,6825.135,6827.15,68464,1,244654
6827.822,6841.256,6825.807,6833.196,42556,1,140620
6833.196,6837.226,6817.747,6827.822,33045,1,117804
6827.15,6839.241,6824.464,6830.509,10742,1,37633
6801.626,6869.467,6798.939,6850.66,189548,1,554675
6851.331,6876.856,6845.286,6856.705,153712,1,468955
6856.705,6859.392,6833.867,6848.645,121126,1,437315
6849.316,6887.603,6848.645,6885.588,86729,1,307472
6884.916,6907.083,6878.199,6888.275,75583,1,276541
6888.275,6907.754,6875.513,6890.962,85406,1,312489
6890.962,6909.098,6860.064,6864.765,97818,1,348555
6864.765,6894.32,6856.033,6860.735,79853,1,277175
6860.735,6860.735,6821.105,6830.509,56315,1,238436
6830.509,6831.181,6821.105,6828.494,8553,1,37056
6797.596,6811.03,6778.788,6802.297,173438,1,512763
6802.297,6823.12,6799.611,6813.045,127155,1,395007
6813.045,6821.777,6786.848,6807.671,134855,1,454944
