open,high,low,close,volume,spread,real_volume,ema_9,sma_20,sma_200,rsi,sma_20_bb,std_20_bb,upper_band,lower_band,band_width,dist_sma_20,dist_sma_200,true_range,atr,atr_norm
7142.876,7181.805,7132.137,7165.026,103757,1,348290,-0.003046590755405809,0.001714222669952692,0.03718430829538755,43.84629195970483,7177.3084499999995,59.22695638542991,7295.762362770859,7058.85453722914,0.033007892470013456,-0.0017142226699525863,0.0,49.668000000000575,39.55257142857162,0.005520227202046667
7165.026,7205.969,7161.67,7201.941,64192,1,229982,-0.006525341096111914,-0.004054004330221517,0.03718430829538755,55.12187854298083,7172.7443,53.01565477548802,7278.775609550977,7066.712990449024,0.02956506048904501,0.0040540043302214656,0.0,44.29899999999998,40.60728571428587,0.005638380780165497
7201.27,7215.365,7197.914,7201.941,14623,1,56433,-0.005220272876889531,-0.0045759053010847595,0.03718430829538755,56.35906981582825,7168.9856,47.61643962728621,7264.218479254572,7073.752720745428,0.026568020796295715,0.004575905301084781,0.0,17.451000000000022,39.360785714285875,0.005465302439201581
7226.104,7230.132,7172.409,7207.311,210548,1,580981,-0.0047691681142393305,-0.005643519476265069,0.03718430829538755,51.3888888888888,7166.6364,44.22427820767137,7255.084956415343,7078.1878435846575,0.0246834223138048,0.005643519476265056,0.0,57.722999999999956,40.51142857142869,0.005620879766590992
7207.311,7220.735,7163.683,7168.382,177108,1,526394,0.0005084686825445051,-0.0008708520276959897,0.03718430829538755,51.24657969567014,7162.1394,38.62933611757076,7239.398072235142,7084.880727764858,0.021574188359177036,0.0008708520276960106,0.0,57.05199999999968,41.42235714285717,0.005778480714735511
7169.053,7185.161,7142.205,7142.876,162781,1,513104,0.0032648919288551514,0.0020156026788087367,0.03718430829538755,48.05194805194801,7157.273199999999,34.14852222062747,7225.570244441254,7088.976155558744,0.01908465487701515,-0.0020156026788087206,0.0,42.95600000000013,42.57292857142862,0.005960194265087147
7142.205,7148.246,7118.713,7130.795,123809,1,440059,0.003971699447392618,0.003247295708262543,0.03718430829538755,43.95892698471054,7153.9508000000005,33.27639684695215,7220.503593693905,7087.398006306096,0.018605885210701834,-0.0032472957082626064,0.0,29.533000000000357,43.34007142857153,0.006077873705326198
7130.795,7146.903,7115.357,7138.178,92904,1,309749,0.002346635184605539,0.001960465261583666,0.03718430829538755,52.44971125566221,7152.17215,33.11265820812268,7218.397466416246,7085.946833583755,0.01851893803094371,-0.0019604652615836204,0.0,31.546000000000276,40.51142857142869,0.00567531778717604
7138.849,7158.314,7130.123,7146.903,72626,1,241785,0.0008983695062074748,0.0005916968510695231,0.03718430829538755,55.55541406681108,7151.1318,32.925120097452016,7216.982040194905,7085.281559805096,0.01841673235414413,-0.0005916968510695982,0.0,28.191000000000713,39.265000000000136,0.0054939880952630995
7147.574,7149.588,7120.727,7140.191,87750,1,307266,0.001471395901764927,0.0011092700461374783,0.03718430829538755,61.12857349692444,7148.1114,30.85402647169165,7209.819452943383,7086.403347056616,0.017265554351428642,-0.0011092700461374173,0.0,28.860999999999876,37.73085714285727,0.005284292414986836
