<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2023.01.24;15:05:00;6065.517;6067.870;6061.988;6067.282;4990;14994;1
2023.01.24;15:10:00;6066.694;6068.458;6064.341;6066.105;3431;11184;1
2023.01.24;15:15:00;6066.694;6069.635;6065.517;6068.458;2807;8662;1
2023.01.24;15:20:00;6068.458;6071.988;6066.694;6071.988;3815;14629;1
2023.01.24;15:25:00;6071.988;6071.988;6067.870;6068.458;2669;9505;1
2023.01.24;15:30:00;6067.870;6070.811;6067.282;6070.223;2274;7342;1
2023.01.24;15:35:00;6070.223;6070.811;6067.870;6068.458;1873;6329;1
2023.01.24;15:40:00;6068.458;6070.223;6067.282;6067.870;1750;5585;1
2023.01.24;15:45:00;6067.282;6071.988;6066.694;6067.282;3707;13225;1
2023.01.24;15:50:00;6067.282;6071.400;6063.164;6070.223;6632;20521;1
2023.01.24;15:55:00;6070.811;6070.811;6067.870;6069.635;2978;10082;1
2023.01.24;16:00:00;6069.635;6073.164;6069.635;6069.635;4209;13084;1
2023.01.24;16:05:00;6070.223;6071.988;6067.870;6067.870;2451;9808;1
2023.01.24;16:10:00;6068.458;6068.458;6063.752;6066.105;4363;14189;1
2023.01.24;16:15:00;6066.105;6068.458;6064.929;6066.694;2608;10764;1
2023.01.24;16:20:00;6066.694;6067.870;6066.105;6066.694;1613;6349;1
2023.01.24;16:25:00;6067.282;6067.282;6064.341;6065.517;1930;6224;1
2023.01.24;16:30:00;6066.105;6066.105;6061.988;6064.341;4234;11811;1
2023.01.24;16:35:00;6064.341;6064.341;6060.811;6062.576;4023;11767;1
2023.01.24;16:40:00;6062.576;6062.576;6060.811;6061.988;1366;3686;1
2023.01.24;16:45:00;6062.576;6062.576;6060.811;6062.576;1658;5632;1
2023.01.24;16:50:00;6061.988;6062.576;6057.870;6058.458;4013;14001;1
2023.01.24;16:55:00;6059.046;6060.223;6057.281;6058.458;3597;12559;1
2023.01.24;17:00:00;6059.046;6059.635;6050.222;6053.752;8489;29698;1
2023.01.24;17:05:00;6053.752;6054.340;6051.399;6054.340;2990;10320;1
2023.01.24;17:10:00;6053.752;6054.928;6050.222;6054.928;3250;11216;1
2023.01.24;17:15:00;6054.928;6057.281;6054.340;6055.517;3343;12986;1
2023.01.24;17:20:00;6054.928;6055.517;6051.987;6054.928;1925;7025;1
2023.01.24;17:25:00;6054.928;6056.105;6053.752;6054.340;1268;5078;1
2023.01.24;17:30:00;6054.928;6057.870;6053.164;6055.517;3008;12545;1
2023.01.24;17:35:00;6056.105;6063.752;6054.340;6062.576;3941;17841;1
2023.01.24;17:40:00;6062.576;6063.164;6059.635;6059.635;1978;5973;1
2023.01.24;17:45:00;6059.635;6066.105;6059.635;6064.929;3424;13570;1
2023.01.24;17:50:00;6064.341;6064.929;6054.340;6056.693;4686;16612;1
2023.01.24;17:55:00;6056.693;6060.223;6056.105;6059.635;2096;8070;1
2023.01.24;18:00:00;6059.046;6059.635;6056.693;6057.870;1535;6447;1
2023.01.24;18:05:00;6057.870;6060.223;6056.105;6059.635;1277;5077;1
2023.01.24;18:10:00;6059.046;6060.223;6054.928;6056.105;1768;6781;1
2023.01.24;18:15:00;6056.693;6057.870;6052.575;6054.340;2724;10691;1
2023.01.24;18:20:00;6054.340;6056.105;6052.575;6056.105;1089;4575;1
2023.01.24;18:25:00;6056.105;6059.635;6053.164;6055.517;1130;6496;1
2023.01.25;09:00:00;6067.870;6069.047;6039.046;6039.634;26780;76379;1
2023.01.25;09:05:00;6040.222;6044.928;6028.457;6029.633;25995;77727;1
2023.01.25;09:10:00;6030.222;6031.986;6017.868;6029.045;24031;74135;1
2023.01.25;09:15:00;6029.045;6034.339;6027.869;6033.163;13767;43375;1
2023.01.25;09:20:00;6033.751;6039.634;6030.222;6032.575;15881;49583;1
2023.01.25;09:25:00;6033.163;6033.163;6021.986;6026.104;24512;68816;1
2023.01.25;09:30:00;6025.516;6027.280;6017.868;6022.574;17402;51027;1
2023.01.25;09:35:00;6022.574;6029.633;6020.221;6025.516;13187;37600;1
2023.01.25;09:40:00;6025.516;6030.810;6021.986;6028.457;9022;26206;1
2023.01.25;09:45:00;6029.045;6031.986;6023.751;6025.516;9186;26554;1
2023.01.25;09:50:00;6025.516;6030.222;6022.574;6027.869;8852;25704;1
2023.01.25;09:55:00;6027.869;6028.457;6017.868;6023.163;14091;44803;1
2023.01.25;10:00:00;6022.574;6030.222;6019.045;6027.869;14664;50484;1
2023.01.25;10:05:00;6028.457;6030.810;6024.927;6026.104;9699;41967;1
2023.01.25;10:10:00;6026.104;6030.810;6023.163;6030.810;8790;28793;1
2023.01.25;10:15:00;6030.810;6039.634;6029.633;6031.986;19162;63900;1
2023.01.25;10:20:00;6031.986;6034.928;6027.280;6033.751;12306;36154;1
2023.01.25;10:25:00;6033.751;6042.575;6033.163;6039.046;15029;44304;1
2023.01.25;10:30:00;6039.046;6046.105;6037.869;6042.575;12373;38033;1
2023.01.25;10:35:00;6042.575;6048.458;6041.399;6042.575;11130;34970;1
2023.01.25;10:40:00;6042.575;6049.634;6039.634;6042.575;14488;42462;1
2023.01.25;10:45:00;6042.575;6046.693;6037.869;6046.693;11827;38761;1
2023.01.25;10:50:00;6046.693;6046.693;6034.339;6036.692;12673;37461;1
2023.01.25;10:55:00;6036.104;6037.869;6031.986;6032.575;12423;48335;1
2023.01.25;11:00:00;6032.575;6039.046;6030.222;6031.986;15379;56063;1
2023.01.25;11:05:00;6031.398;6037.281;6025.516;6027.280;16461;59667;1
2023.01.25;11:10:00;6027.280;6030.222;6024.927;6029.045;6973;27174;1
2023.01.25;11:15:00;6029.045;6033.163;6025.516;6030.810;8164;27915;1
2023.01.25;11:20:00;6031.398;6033.163;6026.692;6029.633;5223;19517;1
2023.01.25;11:25:00;6030.222;6030.810;6023.751;6027.869;9072;34389;1
2023.01.25;11:30:00;6027.280;6029.633;6024.339;6028.457;5556;18493;1
2023.01.25;11:35:00;6028.457;6032.575;6025.516;6025.516;7871;26903;1
2023.01.25;11:40:00;6025.516;6028.457;6021.398;6027.280;12415;41420;1
2023.01.25;11:45:00;6027.869;6028.457;6011.986;6015.515;19341;65925;1
2023.01.25;11:50:00;6016.103;6019.045;6014.927;6017.868;7902;24362;1
2023.01.25;11:55:00;6017.280;6026.104;6016.692;6017.868;15275;53641;1
2023.01.25;12:00:00;6017.280;6019.633;6006.691;6007.868;21399;80769;1
2023.01.25;12:05:00;6008.456;6008.456;5995.514;6002.574;26150;88614;1
2023.01.25;12:10:00;6002.574;6007.868;6000.221;6003.162;8473;31783;1
2023.01.25;12:15:00;6003.162;6003.750;5991.985;5996.691;13151;44992;1
2023.01.25;12:20:00;5997.279;5998.456;5990.220;5993.161;9609;31349;1
2023.01.25;12:25:00;5993.750;6000.809;5992.573;6000.221;8873;30759;1
2023.01.25;12:30:00;6000.221;6002.574;5995.514;6001.985;7182;23504;1
2023.01.25;12:35:00;6001.985;6001.985;5994.338;5996.691;9133;37640;1
2023.01.25;12:40:00;5996.103;5997.868;5980.808;5982.573;15622;54290;1
2023.01.25;12:45:00;5981.985;5984.926;5977.867;5981.985;13884;47269;1
2023.01.25;12:50:00;5981.985;5987.279;5978.455;5980.220;11493;38161;1
2023.01.25;12:55:00;5979.632;5981.985;5973.161;5975.514;13813;55709;1
2023.01.25;13:00:00;5974.926;5984.338;5971.984;5979.043;15606;76053;1
2023.01.25;13:05:00;5979.043;5984.338;5977.867;5980.220;7054;34504;1
2023.01.25;13:10:00;5980.220;5984.926;5977.867;5984.338;6862;27178;1
2023.01.25;13:15:00;5984.338;5989.044;5983.161;5987.279;9333;38727;1
2023.01.25;13:20:00;5986.691;5990.220;5984.338;5986.691;5254;21318;1
2023.01.25;13:25:00;5986.102;5990.808;5984.338;5987.867;4789;19435;1
2023.01.25;13:30:00;5987.279;5996.691;5986.691;5994.926;8783;32309;1
2023.01.25;13:35:00;5994.926;5998.456;5994.338;5997.279;4895;17154;1
2023.01.25;13:40:00;5996.691;5999.044;5994.926;5999.044;3347;11297;1
2023.01.25;13:45:00;5998.456;6000.221;5995.514;5999.044;3920;14672;1
2023.01.25;13:50:00;5999.632;6002.574;5992.573;5994.926;8821;26800;1
2023.01.25;13:55:00;5994.926;5998.456;5990.808;5997.279;6571;22864;1
2023.01.25;14:00:00;5997.279;5997.868;5990.220;5993.161;4619;15109;1
2023.01.25;14:05:00;5993.161;5993.750;5988.455;5989.632;4446;13056;1
2023.01.25;14:10:00;5989.044;5994.926;5984.926;5994.338;8144;24939;1
2023.01.25;14:15:00;5994.338;5995.514;5989.044;5992.573;4569;15653;1
2023.01.25;14:20:00;5992.573;5996.103;5991.985;5992.573;3418;10969;1
2023.01.25;14:25:00;5992.573;5993.161;5990.220;5992.573;2518;8359;1
2023.01.25;14:30:00;5991.985;5992.573;5986.102;5987.279;4097;15519;1
2023.01.25;14:35:00;5987.867;5989.044;5985.514;5986.691;2289;6418;1
2023.01.25;14:40:00;5986.691;5989.632;5984.926;5989.632;3527;12224;1
2023.01.25;14:45:00;5989.044;5991.985;5988.455;5991.985;3263;9759;1
2023.01.25;14:50:00;5991.397;5993.161;5990.808;5991.985;2761;9226;1
2023.01.25;14:55:00;5991.397;5993.161;5989.632;5990.220;2283;8035;1
2023.01.25;15:00:00;5990.220;5991.397;5979.043;5981.985;10574;34821;1
2023.01.25;15:05:00;5981.985;5984.338;5977.867;5980.808;6806;22914;1
2023.01.25;15:10:00;5980.220;5983.161;5977.867;5977.867;4135;15433;1
2023.01.25;15:15:00;5977.867;5984.926;5976.690;5980.220;7899;27759;1
2023.01.25;15:20:00;5980.220;5981.985;5976.102;5976.690;4419;15934;1
2023.01.25;15:25:00;5976.102;5977.867;5973.749;5977.279;6077;19664;1
2023.01.25;15:30:00;5977.279;5979.043;5974.926;5976.102;3316;9904;1
2023.01.25;15:35:00;5976.102;5979.632;5974.337;5978.455;3245;10163;1
2023.01.25;15:40:00;5978.455;5983.161;5978.455;5982.573;3695;11510;1
2023.01.25;15:45:00;5983.161;5984.926;5976.690;5977.867;5621;17878;1
2023.01.25;15:50:00;5977.867;5979.043;5974.926;5975.514;4751;17517;1
2023.01.25;15:55:00;5974.926;5981.985;5972.572;5979.043;7393;24032;1
2023.01.25;16:00:00;5979.632;5980.808;5975.514;5977.867;3996;14102;1
2023.01.25;16:05:00;5977.867;5980.220;5976.690;5979.632;1828;5676;1
2023.01.25;16:10:00;5979.632;5980.808;5974.337;5974.926;4338;14911;1
2023.01.25;16:15:00;5974.926;5977.279;5970.219;5976.102;8950;26645;1
2023.01.25;16:20:00;5976.102;5979.043;5975.514;5977.867;3305;10111;1
2023.01.25;16:25:00;5977.867;5980.220;5976.690;5976.690;3145;11386;1
2023.01.25;16:30:00;5976.690;5980.220;5975.514;5979.632;3210;11972;1
2023.01.25;16:35:00;5979.632;5986.691;5979.632;5984.338;6546;22029;1
2023.01.25;16:40:00;5983.749;5984.926;5981.396;5984.926;2851;10881;1
2023.01.25;16:45:00;5984.338;5986.691;5983.161;5984.338;2872;9585;1
2023.01.25;16:50:00;5984.338;5986.102;5981.985;5984.338;2117;7548;1
2023.01.25;16:55:00;5984.338;5985.514;5982.573;5983.161;1866;7796;1
2023.01.25;17:00:00;5983.161;5983.749;5980.808;5982.573;1901;6636;1
